Count_Nuclei,Texture_AngularSecondMoment_Eosin_3_00_256,Texture_AngularSecondMoment_Eosin_3_01_256,Texture_AngularSecondMoment_Eosin_3_02_256,Texture_AngularSecondMoment_Eosin_3_03_256,Texture_AngularSecondMoment_Hematoxylin_3_00_256,Texture_AngularSecondMoment_Hematoxylin_3_01_256,Texture_AngularSecondMoment_Hematoxylin_3_02_256,Texture_AngularSecondMoment_Hematoxylin_3_03_256,Texture_Contrast_Eosin_3_00_256,Texture_Contrast_Eosin_3_01_256,Texture_Contrast_Eosin_3_02_256,Texture_Contrast_Eosin_3_03_256,Texture_Contrast_Hematoxylin_3_00_256,Texture_Contrast_Hematoxylin_3_01_256,Texture_Contrast_Hematoxylin_3_02_256,Texture_Contrast_Hematoxylin_3_03_256,Texture_Correlation_Eosin_3_00_256,Texture_Correlation_Eosin_3_01_256,Texture_Correlation_Eosin_3_02_256,Texture_Correlation_Eosin_3_03_256,Texture_Correlation_Hematoxylin_3_00_256,Texture_Correlation_Hematoxylin_3_01_256,Texture_Correlation_Hematoxylin_3_02_256,Texture_Correlation_Hematoxylin_3_03_256,Texture_DifferenceEntropy_Eosin_3_00_256,Texture_DifferenceEntropy_Eosin_3_01_256,Texture_DifferenceEntropy_Eosin_3_02_256,Texture_DifferenceEntropy_Eosin_3_03_256,Texture_DifferenceEntropy_Hematoxylin_3_00_256,Texture_DifferenceEntropy_Hematoxylin_3_01_256,Texture_DifferenceEntropy_Hematoxylin_3_02_256,Texture_DifferenceEntropy_Hematoxylin_3_03_256,Texture_DifferenceVariance_Eosin_3_00_256,Texture_DifferenceVariance_Eosin_3_01_256,Texture_DifferenceVariance_Eosin_3_02_256,Texture_DifferenceVariance_Eosin_3_03_256,Texture_DifferenceVariance_Hematoxylin_3_00_256,Texture_DifferenceVariance_Hematoxylin_3_01_256,Texture_DifferenceVariance_Hematoxylin_3_02_256,Texture_DifferenceVariance_Hematoxylin_3_03_256,Texture_Entropy_Eosin_3_00_256,Texture_Entropy_Eosin_3_01_256,Texture_Entropy_Eosin_3_02_256,Texture_Entropy_Eosin_3_03_256,Texture_Entropy_Hematoxylin_3_00_256,Texture_Entropy_Hematoxylin_3_01_256,Texture_Entropy_Hematoxylin_3_02_256,Texture_Entropy_Hematoxylin_3_03_256,Texture_InfoMeas1_Eosin_3_00_256,Texture_InfoMeas1_Eosin_3_01_256,Texture_InfoMeas1_Eosin_3_02_256,Texture_InfoMeas1_Eosin_3_03_256,Texture_InfoMeas1_Hematoxylin_3_00_256,Texture_InfoMeas1_Hematoxylin_3_01_256,Texture_InfoMeas1_Hematoxylin_3_02_256,Texture_InfoMeas1_Hematoxylin_3_03_256,Texture_InfoMeas2_Eosin_3_00_256,Texture_InfoMeas2_Eosin_3_01_256,Texture_InfoMeas2_Eosin_3_02_256,Texture_InfoMeas2_Eosin_3_03_256,Texture_InfoMeas2_Hematoxylin_3_00_256,Texture_InfoMeas2_Hematoxylin_3_01_256,Texture_InfoMeas2_Hematoxylin_3_02_256,Texture_InfoMeas2_Hematoxylin_3_03_256,Texture_InverseDifferenceMoment_Eosin_3_00_256,Texture_InverseDifferenceMoment_Eosin_3_01_256,Texture_InverseDifferenceMoment_Eosin_3_02_256,Texture_InverseDifferenceMoment_Eosin_3_03_256,Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,Texture_InverseDifferenceMoment_Hematoxylin_3_01_256,Texture_InverseDifferenceMoment_Hematoxylin_3_02_256,Texture_InverseDifferenceMoment_Hematoxylin_3_03_256,Texture_SumAverage_Eosin_3_00_256,Texture_SumAverage_Eosin_3_01_256,Texture_SumAverage_Eosin_3_02_256,Texture_SumAverage_Eosin_3_03_256,Texture_SumAverage_Hematoxylin_3_00_256,Texture_SumAverage_Hematoxylin_3_01_256,Texture_SumAverage_Hematoxylin_3_02_256,Texture_SumAverage_Hematoxylin_3_03_256,Texture_SumEntropy_Eosin_3_00_256,Texture_SumEntropy_Eosin_3_01_256,Texture_SumEntropy_Eosin_3_02_256,Texture_SumEntropy_Eosin_3_03_256,Texture_SumEntropy_Hematoxylin_3_00_256,Texture_SumEntropy_Hematoxylin_3_01_256,Texture_SumEntropy_Hematoxylin_3_02_256,Texture_SumEntropy_Hematoxylin_3_03_256,Texture_SumVariance_Eosin_3_00_256,Texture_SumVariance_Eosin_3_01_256,Texture_SumVariance_Eosin_3_02_256,Texture_SumVariance_Eosin_3_03_256,Texture_SumVariance_Hematoxylin_3_00_256,Texture_SumVariance_Hematoxylin_3_01_256,Texture_SumVariance_Hematoxylin_3_02_256,Texture_SumVariance_Hematoxylin_3_03_256,Texture_Variance_Eosin_3_00_256,Texture_Variance_Eosin_3_01_256,Texture_Variance_Eosin_3_02_256,Texture_Variance_Eosin_3_03_256,Texture_Variance_Hematoxylin_3_00_256,Texture_Variance_Hematoxylin_3_01_256,Texture_Variance_Hematoxylin_3_02_256,Texture_Variance_Hematoxylin_3_03_256,Threshold_FinalThreshold_Threshold,Threshold_GuideThreshold_Threshold,Threshold_OrigThreshold_Threshold,Threshold_SumOfEntropies_Threshold,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_Threshold
297,0.104808323,0.09265932,0.099418589,0.093489314,0.043828184,0.0406913,0.043291638,0.040725513,75.87185702,156.8257494,105.860583,140.1322195,837.1780003,1199.217008,1051.070498,1079.855126,0.896828598,0.786755105,0.856166326,0.809476619,0.569454539,0.383109407,0.459586081,0.444572337,3.430660022,3.968084379,3.69638135,3.898230522,5.219198689,5.499378758,5.373965451,5.44339129,0.00076962,0.000576105,0.000669897,0.000591238,0.000286471,0.000238931,0.000269455,0.00024147,7.731866608,8.178041141,7.959450929,8.127631788,10.68547939,10.84583397,10.76673447,10.82487738,-0.295762692,-0.196861363,-0.245439564,-0.207982419,-0.129852748,-0.101054699,-0.115345435,-0.104731749,0.965239558,0.912316745,0.944527091,0.921093217,0.879343092,0.827488481,0.855747206,0.835288224,0.471808843,0.399450616,0.435457054,0.405257966,0.29175128,0.267526968,0.283350139,0.268566392,28.06449712,28.05582378,28.06678597,28.05636674,65.34387243,65.33303563,65.34572799,65.3341369,5.448751922,5.525278595,5.484833163,5.521849315,6.520039045,6.511811631,6.502505804,6.520250883,1394.920541,1314.025402,1366.125501,1330.891635,3051.740013,2688.723648,2838.801546,2808.518454,367.6980994,367.7127879,367.996521,367.7559636,972.2295034,971.9851639,972.4680109,972.093395,0.043347433,0.039662499,0.050539491,-12.80419654,15.53177078,1.395385842
163,0.089933319,0.086751773,0.08917636,0.086051776,0.065139339,0.062015429,0.064940289,0.061761636,85.0123835,137.0576714,117.0118574,183.7121861,257.5079321,393.0133283,360.1365906,458.9624036,0.993238888,0.989088585,0.990690518,0.985374299,0.903465404,0.852690713,0.86502572,0.827978029,3.43422098,3.736462383,3.691644936,3.831779594,4.282306215,4.648804441,4.578817245,4.736183199,0.000664932,0.000584735,0.00060065,0.000559903,0.000435976,0.000370389,0.000396101,0.000356871,8.399523088,8.631099644,8.601476296,8.719878301,10.22012041,10.54087948,10.46720149,10.60291591,-0.360609779,-0.316296741,-0.321362767,-0.298985617,-0.282574295,-0.229684192,-0.240989946,-0.219270931,0.987500837,0.980279096,0.98126032,0.976403277,0.982533715,0.967015098,0.971180765,0.962576196,0.454642055,0.422655613,0.428804995,0.411174617,0.357604645,0.329677192,0.339834445,0.322442587,205.8780521,206.2395071,205.9733325,206.2392164,103.1337125,103.248887,103.1612275,103.2496333,5.880796827,5.8980332,5.86874706,5.907447028,6.727243109,6.73260848,6.711723404,6.729167308,25062.44301,24984.8295,25021.19925,24938.11746,5077.531363,4942.880106,4976.236974,4877.128095,6286.863848,6280.471793,6284.552778,6280.457412,1333.759824,1333.973359,1334.093391,1334.022625,0.177833689,0.148487285,0.3682904,-10.2158674,14.78815634,0.620615058
215,0.011787081,0.008947394,0.011687505,0.00988725,0.00274766,0.002393156,0.002717865,0.002464895,113.2412033,242.9594116,139.9014762,160.2198379,817.322038,1338.611641,967.2950453,997.202445,0.988088268,0.974456283,0.985279895,0.983155237,0.816678766,0.700115083,0.783090683,0.776600168,4.03677512,4.672981285,4.296947034,4.377429678,5.486994365,6.031289125,5.780606523,5.770586903,0.000360917,0.000223386,0.000302494,0.00027054,0.000126923,7.66E-05,9.59E-05,9.52E-05,10.51407569,11.08145105,10.7407842,10.84524032,12.8473991,13.23393627,13.04810093,13.06528639,-0.327659463,-0.23762906,-0.291619457,-0.27519639,-0.151356385,-0.095952901,-0.122462158,-0.120218862,0.991844632,0.9744889,0.987139388,0.98417189,0.937017137,0.858214961,0.904269648,0.901092915,0.301971529,0.214477546,0.273342445,0.240982483,0.144238754,0.107237696,0.124386702,0.118490041,137.1400635,137.2548605,137.0579041,137.2560327,104.7421301,104.84079,104.7572109,104.8409876,7.384230004,7.402761235,7.367217644,7.395038044,7.877064075,7.84620491,7.854164794,7.862763836,18900.14889,18780.06792,18868.31521,18862.88363,8099.506853,7588.890659,7951.593792,7930.310505,4753.347523,4755.756833,4752.054172,4755.775866,2229.207223,2231.875575,2229.722209,2231.878237,0.201616996,0.196665183,0.24574935,-11.4877207,15.85606558,1.697761732
189,0.087629886,0.08364115,0.08569591,0.084101869,0.055650841,0.052520909,0.055453768,0.052491395,104.1227838,305.495134,234.717696,249.9587564,488.120144,993.7128682,917.9428209,891.0962568,0.989840665,0.970219238,0.977113339,0.975633046,0.808939357,0.610880404,0.640629329,0.651063674,3.647511191,4.255978325,4.152171923,4.195097438,4.627672519,5.192834486,5.105096219,5.144202822,0.000643337,0.000520249,0.000543737,0.000522145,0.000399446,0.000315474,0.000345171,0.000316307,9.090911804,9.570525669,9.48601358,9.529635925,10.53449855,10.93616357,10.85838189,10.91098137,-0.384699095,-0.29735476,-0.312214999,-0.304633214,-0.242796591,-0.174429734,-0.187115827,-0.178635142,0.993395551,0.982172995,0.984931152,0.983585417,0.972412885,0.936106514,0.945356718,0.939347716,0.439569105,0.391106011,0.400777732,0.390145305,0.343455497,0.306888868,0.318967282,0.306597881,169.3965944,169.1907715,169.1084625,169.1911984,91.86034965,91.74182712,91.7276481,91.74232115,6.389122394,6.41137793,6.385649407,6.399905593,6.78834345,6.738826503,6.718572348,6.746845975,20393.83008,20210.77863,20276.59184,20266.24993,4621.463257,4113.780446,4190.670073,4216.404398,5124.488217,5129.068442,5127.827385,5129.052171,1277.39585,1276.873329,1277.153224,1276.875164,0.174712219,0.14881967,0.295099078,-11.30210729,15.45655054,1.468975759
331,0.047174298,0.034783595,0.041528372,0.035568773,0.003914493,0.00296965,0.003600571,0.003031451,49.07970127,120.4511833,88.98266673,111.538983,764.7599799,1129.184023,1058.076407,1078.235802,0.905180494,0.767023294,0.828017798,0.784260938,0.514421656,0.283071411,0.32815603,0.315415495,3.392927377,4.084066857,3.81220277,4.01593804,5.521320761,5.84240898,5.76325312,5.799517388,0.00072083,0.000439454,0.000558149,0.000457591,0.000135514,0.000102,0.000113637,0.000105654,7.921501346,8.495056971,8.265107491,8.448117811,11.69949776,11.87865619,11.81661315,11.86166523,-0.277291552,-0.15255579,-0.202768047,-0.162757435,-0.067435906,-0.037796262,-0.048170681,-0.040599287,0.960171078,0.868411498,0.919293478,0.880996642,0.747009194,0.605978671,0.664774589,0.623156956,0.435041509,0.318130302,0.374393319,0.325737258,0.162244148,0.129870799,0.147114503,0.131998257,24.49238071,24.48904063,24.49699475,24.48887275,61.01740405,61.01792044,61.01835861,61.01753481,5.693544486,5.779633765,5.736405591,5.773939517,6.934412632,6.907195442,6.903594571,6.911689558,986.1440275,913.5679286,945.8065838,922.4785184,2385.133296,2020.87594,2091.691854,2071.808623,258.8059322,258.504778,258.6973126,258.5043754,787.4733189,787.5149908,787.4420652,787.5111063,0.042068165,0.041723873,0.044613828,-12.90687191,15.32812591,1.53325519
234,0.199359315,0.179480304,0.190411718,0.181394653,0.107894968,0.101937663,0.107298307,0.102132836,99.04396444,186.792937,126.5413915,176.69546,753.0788596,1170.622991,1008.151435,1110.282851,0.866390895,0.74822693,0.829226063,0.761837162,0.677393197,0.498945321,0.568192891,0.52477375,2.984207285,3.537990886,3.287734235,3.465456951,4.567289513,4.913443229,4.766339858,4.850945061,0.001185164,0.000916485,0.001036104,0.000946426,0.000561813,0.000485603,0.000536651,0.000493091,6.35317671,6.771168692,6.579671534,6.723273359,9.1797599,9.37627669,9.279367596,9.352028226,-0.3175833,-0.20628359,-0.256457498,-0.218970969,-0.173687631,-0.13341138,-0.152364007,-0.138240149,0.953492802,0.888436918,0.925020701,0.899202053,0.908590789,0.85920604,0.885188167,0.866389585,0.585220259,0.507920669,0.543112421,0.517193486,0.408877305,0.381740987,0.399157648,0.384788221,20.40582054,20.40829745,20.39320079,20.40829361,60.92047663,60.93066658,60.91037624,60.93060327,4.601971064,4.707701663,4.650018587,4.69723638,5.761327574,5.781854873,5.752036839,5.784217943,1383.549075,1297.026892,1355.434061,1307.12512,3915.631493,3502.012708,3661.30126,3562.366656,370.64826,370.9549572,370.4938632,370.955145,1167.177588,1168.158925,1167.363174,1168.162377,0.040480244,0.040067166,0.042969937,-13.00436853,12.78014498,1.394132126
47,0.828570011,0.826549448,0.829960699,0.82755382,0.803033526,0.800104537,0.804431001,0.800720507,12.84807327,32.79614961,16.20332682,17.27638974,33.00442083,59.91642213,43.39284498,46.33633462,0.994420554,0.985684704,0.992908206,0.992458973,0.918372582,0.851309094,0.892015508,0.885009963,0.755675953,0.830975939,0.76484346,0.772269671,0.925106031,0.997624162,0.940754754,0.963349651,0.004318478,0.00428431,0.004319081,0.004303415,0.003544073,0.003511256,0.003546526,0.003519435,1.423237541,1.47000222,1.423685793,1.434114419,1.723122428,1.769145998,1.724483663,1.745541725,-0.54639497,-0.491399466,-0.535210446,-0.528229584,-0.466295714,-0.419051844,-0.455036259,-0.440145147,0.81054171,0.784988923,0.804164706,0.801741339,0.805779739,0.780089877,0.798683071,0.791575034,0.928469042,0.922750108,0.927599756,0.926387356,0.911551009,0.906800463,0.91127259,0.908572843,19.0643307,18.95666517,18.90112807,18.95666517,38.66235041,38.63444262,38.61500578,38.63444262,1.10063882,1.111268065,1.091845545,1.104154713,1.262988596,1.272471007,1.253658171,1.27042812,4592.653466,4549.1767,4553.395488,4564.69646,775.6557516,746.0026978,760.2937586,759.5827853,1151.375385,1145.493212,1142.399704,1145.493212,202.1650431,201.47978,200.9216509,201.47978,0.066763186,0.087302946,0.031991575,-10.65832542,4.452489301,0.13167712
286,0.004733942,0.002889896,0.003825999,0.002879347,0.000395783,0.000335189,0.000351976,0.000331285,126.00123,228.5853693,153.4154169,231.32167,870.6402453,1193.689578,1097.87898,1238.458086,0.967246523,0.940585874,0.960181921,0.939874489,0.505550838,0.321952968,0.3766098,0.296481377,4.253878285,4.763355817,4.473994113,4.754052744,5.713165806,5.969176832,5.905574651,5.99753887,0.000295134,0.000197338,0.000245454,0.000197219,9.48E-05,7.60E-05,8.07E-05,7.42E-05,10.52405303,10.97525425,10.73137817,10.9721876,12.54561853,12.67928254,12.63864699,12.68991283,-0.248017622,-0.172736255,-0.213997398,-0.173241084,-0.048194934,-0.027317087,-0.033861743,-0.025656445,0.974263612,0.935119682,0.961036239,0.935525036,0.679574585,0.544175538,0.594098969,0.53003667,0.246772331,0.170318657,0.211846817,0.168752017,0.087711055,0.070478881,0.076889003,0.068984787,68.53819785,68.52576117,68.61152133,68.52524124,67.8604606,67.84593756,67.87568962,67.84499267,7.178957002,7.19241915,7.187811838,7.192425593,7.305775093,7.249992442,7.25423262,7.241603299,7567.913612,7466.06178,7552.401633,7463.304692,2651.017031,2327.274371,2424.406036,2282.296152,1923.47871,1923.661787,1926.454263,1923.65659,880.414319,880.2409871,880.5712541,880.1885596,0.15162282,0.187039495,0.122793841,-11.99161526,12.72860228,2.001772194
434,0.01108343,0.009017379,0.011474521,0.009144653,0.001322604,0.001099423,0.001413,0.001111427,235.2682658,387.4629605,207.2199226,361.6352791,1534.670845,1951.521877,1373.333784,1832.357927,0.852972855,0.758013637,0.870571307,0.774139658,0.489308177,0.350488292,0.543066033,0.390134325,4.825768891,5.198259195,4.740153843,5.145449531,6.168775116,6.370462312,6.098990232,6.322010066,0.000272932,0.00020286,0.000290507,0.000211402,6.78E-05,5.50E-05,7.15E-05,5.74E-05,11.10713843,11.42523948,11.03176926,11.38766634,13.00642293,13.11666289,12.97231412,13.09577643,-0.172373126,-0.119781579,-0.184748287,-0.125957404,-0.057908733,-0.041299473,-0.063046793,-0.044412196,0.936454841,0.875652323,0.945583689,0.885228931,0.73456974,0.651809122,0.755129688,0.669580921,0.210459683,0.174488729,0.219101985,0.178505566,0.104701182,0.090257197,0.109231459,0.091833874,63.13044522,63.11743302,63.13619843,63.11683635,86.9875725,86.9684126,86.99630991,86.96718184,7.153345497,7.175959893,7.149048612,7.175382029,7.655273479,7.634914855,7.66227421,7.641540723,2965.06954,2814.890728,2994.850927,2840.6558,4475.493308,4057.675041,4637.748261,4176.696201,800.0844516,800.5884221,800.5177125,800.5727698,1502.541038,1502.29923,1502.770511,1502.263532,0.113582024,0.100134015,0.110716357,-12.77537617,15.73534897,2.475487683
352,0.003813175,0.002661185,0.004002333,0.002781754,0.000430065,0.000381126,0.000436668,0.000393244,218.1396829,338.869983,199.0137713,321.8735372,1365.928627,1668.195715,1327.898829,1560.227945,0.843304441,0.756810494,0.857132205,0.769004488,0.467106102,0.349741891,0.482111693,0.391801503,4.610471236,4.97916706,4.544857947,4.927116475,6.079460628,6.237261873,6.059629503,6.18354845,0.000227896,0.000168531,0.000238076,0.000175393,6.88E-05,5.94E-05,6.98E-05,6.25E-05,10.85722712,11.19487463,10.79526776,11.14923606,12.85121594,12.93021652,12.84168363,12.91071062,-0.179127665,-0.122872779,-0.189626029,-0.130515309,-0.036961683,-0.025097152,-0.038472625,-0.02806789,0.939090789,0.876959121,0.946469234,0.888356169,0.619397856,0.529239679,0.629075205,0.554581348,0.208836506,0.157247555,0.217031908,0.162166596,0.077671377,0.067286739,0.078539554,0.069916395,54.54114284,54.58467769,54.56047036,54.5839141,73.59025217,73.62010992,73.60392595,73.61889546,7.123447846,7.130518216,7.122544568,7.131844099,7.432966579,7.408815763,7.434154696,7.422579445,2566.108757,2448.009999,2586.971295,2464.96448,3760.527621,3462.676752,3800.229424,3570.425789,696.0621101,696.7199956,696.4962666,696.7095044,1281.614062,1282.718117,1282.032063,1282.663434,0.10487724,0.106217325,0.106956649,-12.48029803,15.35046278,1.585403116
